company_id,sector,previous_year,current_year,previous_pattern,current_pattern,change_description
DIVISLAB,Healthcare,2019.0,2020,Self-Funded Reinvestor,Deleverager,DIVISLAB changed from Self-Funded Reinvestor to Deleverager
DIVISLAB,Healthcare,2022.0,2023,Deleverager,Self-Funded Reinvestor,DIVISLAB changed from Deleverager to Self-Funded Reinvestor
DLF,Real Estate,2013.0,2014,Cash Distributor,Deleverager,DLF changed from Cash Distributor to Deleverager
DLF,Real Estate,2014.0,2015,Deleverager,Cash Distributor,DLF changed from Deleverager to Cash Distributor
DLF,Real Estate,2015.0,2016,Cash Distributor,Self-Funded Reinvestor,DLF changed from Cash Distributor to Self-Funded Reinvestor
DLF,Real Estate,2016.0,2017,Self-Funded Reinvestor,Distress Signal,DLF changed from Self-Funded Reinvestor to Distress Signal
DLF,Real Estate,2017.0,2018,Distress Signal,Deleverager,DLF changed from Distress Signal to Deleverager
DLF,Real Estate,2018.0,2019,Deleverager,Cash Accumulator,DLF changed from Deleverager to Cash Accumulator
DLF,Real Estate,2019.0,2020,Cash Accumulator,Deleverager,DLF changed from Cash Accumulator to Deleverager
DLF,Real Estate,2023.0,2024,Deleverager,Externally Funded Expansion,DLF changed from Deleverager to Externally Funded Expansion
DMART,Consumer Discretionary,2017.0,2018,Externally Funded Expansion,Deleverager,DMART changed from Externally Funded Expansion to Deleverager
DMART,Consumer Discretionary,2018.0,2019,Deleverager,Externally Funded Expansion,DMART changed from Deleverager to Externally Funded Expansion
DMART,Consumer Discretionary,2020.0,2021,Externally Funded Expansion,Self-Funded Reinvestor,DMART changed from Externally Funded Expansion to Self-Funded Reinvestor
DMART,Consumer Discretionary,2022.0,2023,Self-Funded Reinvestor,Deleverager,DMART changed from Self-Funded Reinvestor to Deleverager
DMART,Consumer Discretionary,2023.0,2024,Deleverager,Self-Funded Reinvestor,DMART changed from Deleverager to Self-Funded Reinvestor
DRREDDY,Healthcare,2014.0,2015,Self-Funded Reinvestor,Deleverager,DRREDDY changed from Self-Funded Reinvestor to Deleverager
DRREDDY,Healthcare,2016.0,2017,Deleverager,Self-Funded Reinvestor,DRREDDY changed from Deleverager to Self-Funded Reinvestor
DRREDDY,Healthcare,2018.0,2019,Self-Funded Reinvestor,Deleverager,DRREDDY changed from Self-Funded Reinvestor to Deleverager
DRREDDY,Healthcare,2020.0,2021,Deleverager,Self-Funded Reinvestor,DRREDDY changed from Deleverager to Self-Funded Reinvestor
DRREDDY,Healthcare,2022.0,2023,Self-Funded Reinvestor,Deleverager,DRREDDY changed from Self-Funded Reinvestor to Deleverager
DRREDDY,Healthcare,2023.0,2024,Deleverager,Self-Funded Reinvestor,DRREDDY changed from Deleverager to Self-Funded Reinvestor
EICHERMOT,Consumer Discretionary,2013.0,2014,Self-Funded Reinvestor,Deleverager,EICHERMOT changed from Self-Funded Reinvestor to Deleverager
EICHERMOT,Consumer Discretionary,2016.0,2017,Deleverager,Externally Funded Expansion,EICHERMOT changed from Deleverager to Externally Funded Expansion
EICHERMOT,Consumer Discretionary,2017.0,2018,Externally Funded Expansion,Self-Funded Reinvestor,EICHERMOT changed from Externally Funded Expansion to Self-Funded Reinvestor
EICHERMOT,Consumer Discretionary,2020.0,2021,Self-Funded Reinvestor,Deleverager,EICHERMOT changed from Self-Funded Reinvestor to Deleverager
EICHERMOT,Consumer Discretionary,2022.0,2023,Deleverager,Self-Funded Reinvestor,EICHERMOT changed from Deleverager to Self-Funded Reinvestor
GAIL,Energy,2013.0,2014,Externally Funded Expansion,Self-Funded Reinvestor,GAIL changed from Externally Funded Expansion to Self-Funded Reinvestor
GAIL,Energy,2014.0,2015,Self-Funded Reinvestor,Deleverager,GAIL changed from Self-Funded Reinvestor to Deleverager
GAIL,Energy,2019.0,2020,Deleverager,Externally Funded Expansion,GAIL changed from Deleverager to Externally Funded Expansion
GAIL,Energy,2020.0,2021,Externally Funded Expansion,Self-Funded Reinvestor,GAIL changed from Externally Funded Expansion to Self-Funded Reinvestor
GAIL,Energy,2022.0,2023,Self-Funded Reinvestor,Externally Funded Expansion,GAIL changed from Self-Funded Reinvestor to Externally Funded Expansion
GAIL,Energy,2023.0,2024,Externally Funded Expansion,Self-Funded Reinvestor,GAIL changed from Externally Funded Expansion to Self-Funded Reinvestor
GODREJCP,Consumer Staples,2013.0,2014,Externally Funded Expansion,Deleverager,GODREJCP changed from Externally Funded Expansion to Deleverager
GODREJCP,Consumer Staples,2014.0,2015,Deleverager,Self-Funded Reinvestor,GODREJCP changed from Deleverager to Self-Funded Reinvestor
GODREJCP,Consumer Staples,2016.0,2017,Self-Funded Reinvestor,Externally Funded Expansion,GODREJCP changed from Self-Funded Reinvestor to Externally Funded Expansion
GODREJCP,Consumer Staples,2017.0,2018,Externally Funded Expansion,Deleverager,GODREJCP changed from Externally Funded Expansion to Deleverager
GODREJCP,Consumer Staples,2019.0,2020,Deleverager,Self-Funded Reinvestor,GODREJCP changed from Deleverager to Self-Funded Reinvestor
GODREJCP,Consumer Staples,2020.0,2021,Self-Funded Reinvestor,Deleverager,GODREJCP changed from Self-Funded Reinvestor to Deleverager
GODREJCP,Consumer Staples,2023.0,2024,Deleverager,Externally Funded Expansion,GODREJCP changed from Deleverager to Externally Funded Expansion
GRASIM,Industrials,2013.0,2014,Externally Funded Expansion,Self-Funded Reinvestor,GRASIM changed from Externally Funded Expansion to Self-Funded Reinvestor
GRASIM,Industrials,2016.0,2017,Self-Funded Reinvestor,Deleverager,GRASIM changed from Self-Funded Reinvestor to Deleverager
GRASIM,Industrials,2017.0,2018,Deleverager,Distress Signal,GRASIM changed from Deleverager to Distress Signal
GRASIM,Industrials,2019.0,2020,Distress Signal,Self-Funded Reinvestor,GRASIM changed from Distress Signal to Self-Funded Reinvestor
GRASIM,Industrials,2020.0,2021,Self-Funded Reinvestor,Deleverager,GRASIM changed from Self-Funded Reinvestor to Deleverager
GRASIM,Industrials,2022.0,2023,Deleverager,Distress Signal,GRASIM changed from Deleverager to Distress Signal
HAL,Industrials,2018.0,2019,Cash Burn,Distress Signal,HAL changed from Cash Burn to Distress Signal
HAL,Industrials,2019.0,2020,Distress Signal,Externally Funded Expansion,HAL changed from Distress Signal to Externally Funded Expansion
HAL,Industrials,2020.0,2021,Externally Funded Expansion,Self-Funded Reinvestor,HAL changed from Externally Funded Expansion to Self-Funded Reinvestor
